epoch,epoch_time,sampling_time,i_loss,n_loss,val_i_loss,val_kid,val_n_loss,,,,,,,,
Saved generated images to generated_images/epoch_023_20251129-184423.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.06s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2380 - n_loss: 0.1461 - val_i_loss: 0.2290 - val_kid: 0.0519 - val_n_loss: 0.1434,,,,,,,,,,,,,,,
Epoch 25/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2383 - n_loss: 0.1451,,,,,,,,,,,,,,,
Sampling Time: 2.1950643062591553,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_024_20251129-184508.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 43.94s),,,,,,,,,,,,,,,
511/511 ???????????????????? 44s 86ms/step - i_loss: 0.2383 - n_loss: 0.1451 - val_i_loss: 0.2321 - val_kid: 0.0527 - val_n_loss: 0.1429,,,,,,,,,,,,,,,
Epoch 26/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2378 - n_loss: 0.1455,,,,,,,,,,,,,,,
Sampling Time: 2.1869492530822754,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_025_20251129-184552.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 43.83s),,,,,,,,,,,,,,,
511/511 ???????????????????? 44s 86ms/step - i_loss: 0.2378 - n_loss: 0.1455 - val_i_loss: 0.2258 - val_kid: 0.0525 - val_n_loss: 0.1451,,,,,,,,,,,,,,,
Epoch 27/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2381 - n_loss: 0.1457,,,,,,,,,,,,,,,
Sampling Time: 2.204355478286743,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_026_20251129-184636.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 43.97s),,,,,,,,,,,,,,,
511/511 ???????????????????? 44s 86ms/step - i_loss: 0.2381 - n_loss: 0.1457 - val_i_loss: 0.2282 - val_kid: 0.0526 - val_n_loss: 0.1437,,,,,,,,,,,,,,,
Epoch 28/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2361 - n_loss: 0.1456,,,,,,,,,,,,,,,
Sampling Time: 2.1929755210876465,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_027_20251129-184720.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 43.89s),,,,,,,,,,,,,,,
511/511 ???????????????????? 44s 86ms/step - i_loss: 0.2361 - n_loss: 0.1456 - val_i_loss: 0.2268 - val_kid: 0.0536 - val_n_loss: 0.1439,,,,,,,,,,,,,,,
Epoch 29/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2354 - n_loss: 0.1457,,,,,,,,,,,,,,,
Sampling Time: 2.170135498046875,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_028_20251129-184805.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.07s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2354 - n_loss: 0.1457 - val_i_loss: 0.2290 - val_kid: 0.0528 - val_n_loss: 0.1432,,,,,,,,,,,,,,,
Epoch 30/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2378 - n_loss: 0.1446,,,,,,,,,,,,,,,
Sampling Time: 2.2161598205566406,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_029_20251129-184849.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 44.90s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2378 - n_loss: 0.1446 - val_i_loss: 0.2294 - val_kid: 0.0508 - val_n_loss: 0.1433,,,,,,,,,,,,,,,
Epoch 31/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2377 - n_loss: 0.1443,,,,,,,,,,,,,,,
Sampling Time: 2.192256212234497,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_030_20251129-184934.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 44.87s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2377 - n_loss: 0.1443 - val_i_loss: 0.2288 - val_kid: 0.0495 - val_n_loss: 0.1427,,,,,,,,,,,,,,,
Epoch 32/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2362 - n_loss: 0.1450,,,,,,,,,,,,,,,
Sampling Time: 2.1660091876983643,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_031_20251129-185019.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 43.80s),,,,,,,,,,,,,,,
511/511 ???????????????????? 44s 86ms/step - i_loss: 0.2362 - n_loss: 0.1450 - val_i_loss: 0.2273 - val_kid: 0.0500 - val_n_loss: 0.1439,,,,,,,,,,,,,,,
Epoch 33/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2360 - n_loss: 0.1445,,,,,,,,,,,,,,,
Sampling Time: 2.1950864791870117,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_032_20251129-185103.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 43.69s),,,,,,,,,,,,,,,
511/511 ???????????????????? 44s 86ms/step - i_loss: 0.2360 - n_loss: 0.1445 - val_i_loss: 0.2288 - val_kid: 0.0502 - val_n_loss: 0.1432,,,,,,,,,,,,,,,
Epoch 34/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2350 - n_loss: 0.1446,,,,,,,,,,,,,,,
Sampling Time: 2.1722965240478516,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_033_20251129-185146.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 44.89s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2350 - n_loss: 0.1446 - val_i_loss: 0.2290 - val_kid: 0.0495 - val_n_loss: 0.1424,,,,,,,,,,,,,,,
Epoch 35/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2350 - n_loss: 0.1444,,,,,,,,,,,,,,,
Sampling Time: 2.1771912574768066,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_034_20251129-185231.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 43.70s),,,,,,,,,,,,,,,
511/511 ???????????????????? 44s 86ms/step - i_loss: 0.2350 - n_loss: 0.1444 - val_i_loss: 0.2293 - val_kid: 0.0500 - val_n_loss: 0.1422,,,,,,,,,,,,,,,
Epoch 36/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2359 - n_loss: 0.1443,,,,,,,,,,,,,,,
Sampling Time: 2.1833622455596924,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_035_20251129-185315.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 43.78s),,,,,,,,,,,,,,,
511/511 ???????????????????? 44s 86ms/step - i_loss: 0.2359 - n_loss: 0.1443 - val_i_loss: 0.2284 - val_kid: 0.0495 - val_n_loss: 0.1425,,,,,,,,,,,,,,,
Epoch 37/50,,,,,,,,,,,,,,,
